Gene ID,Gene symbol,Enzyme,UniProt,Enzymatic reactions
ENSG00000130066,SAT1,diamine N-acetyltransferase,P21673,CoA[p] + N1-acetylspermine[p] <=> acetyl-CoA[p] + spermine[p]
ENSG00000130066,SAT1,diamine N-acetyltransferase,P21673,CoA[c] + N1-acetylspermidine[c] <=> acetyl-CoA[c] + spermidine[c]
ENSG00000130413,STK33,non-specific serine/threonine protein kinase,Q9BYT3,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000130413,STK33,Fas-activated serine/threonine kinase,Q9BYT3,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000130413,STK33,Goodpasture-antigen-binding protein kinase,Q9BYT3,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000130413,STK33,IkappaB kinase,Q9BYT3,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000130413,STK33,cAMP-dependent protein kinase,Q9BYT3,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000130413,STK33,cGMP-dependent protein kinase,Q9BYT3,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000130413,STK33,protein kinase C,Q9BYT3,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000130413,STK33,Ca2+/calmodulin-dependent protein kinase,Q9BYT3,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000130413,STK33,polo kinase,Q9BYT3,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000130413,STK33,cyclin-dependent kinase,Q9BYT3,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000130413,STK33,mitogen-activated protein kinase,Q9BYT3,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000130413,STK33,mitogen-activated protein kinase kinase kinase,Q9BYT3,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000130413,STK33,receptor protein serine/threonine kinase,Q9BYT3,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000130413,STK33,dual-specificity kinase,Q9BYT3,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000130413,STK33,mitogen-activated protein kinase kinase,Q9BYT3,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000130413,STK33,non-specific serine/threonine protein kinase,Q9BYT3,ATP[c] + protamine[c] => ADP[c] + O-phosphoprotamine[c]
ENSG00000130816,DNMT1,DNA (cytosine-5-)-methyltransferase,P26358,DNA[c] + SAM[c] => DNA-5-methylcytosine[c] + H+[c] + SAH[c]
ENSG00000130821,SLC6A8,"The peroxysomal long chain fatty acid (LCFA) half transporter, ABCD1",P48029,ATP[c] + H2O[c] + arachidonyl-CoA[c] => ADP[c] + Pi[c] + arachidonyl-CoA[p]
ENSG00000130821,SLC6A8,"The peroxysomal long chain fatty acid (LCFA) half transporter, ABCD1",P48029,(13Z)-eicosenoyl-CoA[c] + ATP[c] + H2O[c] => (13Z)-eicosenoyl-CoA[p] + ADP[c] + Pi[c]
ENSG00000130821,SLC6A8,"The peroxysomal long chain fatty acid (LCFA) half transporter, ABCD1",P48029,ATP[c] + H2O[c] + propanoyl-CoA[c] => ADP[c] + Pi[c] + propanoyl-CoA[p]
ENSG00000130821,SLC6A8,"The peroxysomal long chain fatty acid (LCFA) half transporter, ABCD1",P48029,ATP[c] + H2O[c] + palmitoyl-CoA[c] => ADP[c] + Pi[c] + palmitoyl-CoA[p]
ENSG00000130821,SLC6A8,"The peroxysomal long chain fatty acid (LCFA) half transporter, ABCD1",P48029,ATP[c] + H2O[c] + choloyl-CoA[c] => ADP[c] + Pi[c] + choloyl-CoA[p]
ENSG00000130821,SLC6A8,"The peroxysomal long chain fatty acid (LCFA) half transporter, ABCD1",P48029,ATP[c] + H2O[c] + linoleoyl-CoA[c] => ADP[c] + Pi[c] + linoleoyl-CoA[p]
ENSG00000130957,FBP2,6-phosphofructokinase,O00757,"CDP[c] + tagatose-1,6-bisphosphate[c] <=> CTP[c] + D-tagatose-6-phosphate[c]"
ENSG00000130957,FBP2,6-phosphofructokinase,O00757,"ATP[c] + fructose-6-phosphate[c] => ADP[c] + fructose-1,6-bisphosphate[c]"
ENSG00000130957,FBP2,6-phosphofructokinase,O00757,"UDP[c] + sedoheptulose-1,7-bisphosphate[c] <=> UTP[c] + sedoheptulose-7-phosphate[c]"
ENSG00000130957,FBP2,"fructose-2,6-bisphosphate 2-phosphatase",O00757,"H2O[c] + fructose-2,6-bisphosphate[c] => Pi[c] + fructose-6-phosphate[c]"
ENSG00000130957,FBP2,6-phosphofructokinase,O00757,"ADP[c] + sedoheptulose-1,7-bisphosphate[c] <=> ATP[c] + sedoheptulose-7-phosphate[c]"
ENSG00000130957,FBP2,fructose-bisphosphatase,O00757,"H2O[c] + fructose-1,6-bisphosphate[c] => Pi[c] + fructose-6-phosphate[c]"
ENSG00000130957,FBP2,6-phosphofructokinase,O00757,"UTP[c] + fructose-6-phosphate[c] => UDP[c] + fructose-1,6-bisphosphate[c]"
ENSG00000130957,FBP2,6-phosphofructokinase,O00757,"D-tagatose-6-phosphate[c] + ITP[c] <=> IDP[c] + tagatose-1,6-bisphosphate[c]"
ENSG00000131069,ACSS2,propionate-CoA ligase,Q9NR19,AMP[m] + PPi[m] + propanoyl-CoA[m] <=> ATP[m] + CoA[m] + propanoate[m]
ENSG00000131069,ACSS2,acetate-CoA ligase,Q9NR19,CoA[c] + acetyl adenylate[c] => AMP[c] + acetyl-CoA[c]
ENSG00000131069,ACSS2,1-pyrroline-5-carboxylate dehydrogenase,Q9NR19,H+[m] + NADH[m] + glutamate[m] <=> H2O[m] + L-glutamate 5-semialdehyde[m] + NAD+[m]
ENSG00000131069,ACSS2,alkaline phosphatase,Q9NR19,DHAP[s] + H2O[s] <=> Pi[s] + glycerone[s]
ENSG00000131069,ACSS2,propionate-CoA ligase,Q9NR19,AMP[c] + propanoyl-CoA[c] <=> CoA[c] + propinol adenylate[c]
ENSG00000131069,ACSS2,acetate-CoA ligase,Q9NR19,AMP[c] + propanoyl-CoA[c] <=> CoA[c] + propinol adenylate[c]
ENSG00000131069,ACSS2,propionate-CoA ligase,Q9NR19,AMP[c] + PPi[c] + propanoyl-CoA[c] <=> ATP[c] + CoA[c] + propanoate[c]
ENSG00000131069,ACSS2,acetate-CoA ligase,Q9NR19,AMP[c] + PPi[c] + propanoyl-CoA[c] <=> ATP[c] + CoA[c] + propanoate[c]
ENSG00000131069,ACSS2,palmitoyl-CoA hydrolase,Q9NR19,AMP[c] + PPi[c] + propanoyl-CoA[c] <=> ATP[c] + CoA[c] + propanoate[c]
ENSG00000131069,ACSS2,hexokinase,Q9NR19,dATP[c] + fructose[c] => dADP[c] + fructose-6-phosphate[c]
ENSG00000131069,ACSS2,acetate-CoA ligase,Q9NR19,ATP[m] + propanoate[m] <=> PPi[m] + propinol adenylate[m]
ENSG00000131069,ACSS2,propionate-CoA ligase,Q9NR19,ATP[m] + propanoate[m] <=> PPi[m] + propinol adenylate[m]
ENSG00000131069,ACSS2,UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing),Q9NR19,H2O[r] + UDP-N-acetylglucosamine[r] => N-acetyl-D-mannosamine[r] + UDP[r]
ENSG00000131069,ACSS2,acetate-CoA ligase,Q9NR19,ATP[c] + acetate[c] => PPi[c] + acetyl adenylate[c]
ENSG00000131069,ACSS2,acetate-CoA ligase,Q9NR19,ATP[c] + propanoate[c] <=> PPi[c] + propinol adenylate[c]
ENSG00000131069,ACSS2,propionate-CoA ligase,Q9NR19,ATP[c] + propanoate[c] <=> PPi[c] + propinol adenylate[c]
ENSG00000131069,ACSS2,arylformamidase,Q9NR19,H2O[c] + formylanthranilate[c] => anthranilate[c] + formate[c]
ENSG00000131069,ACSS2,acetate-CoA ligase,Q9NR19,ATP[c] + CoA[c] + acetate[c] => AMP[c] + PPi[c] + acetyl-CoA[c]
ENSG00000131069,ACSS2,hexokinase,Q9NR19,ITP[c] + fructose[c] => IDP[c] + fructose-6-phosphate[c]
ENSG00000131069,ACSS2,acetate-CoA ligase,Q9NR19,AMP[m] + propanoyl-CoA[m] <=> CoA[m] + propinol adenylate[m]
ENSG00000131069,ACSS2,propionate-CoA ligase,Q9NR19,AMP[m] + propanoyl-CoA[m] <=> CoA[m] + propinol adenylate[m]
ENSG00000131069,ACSS2,acetate-CoA ligase,Q9NR19,ATP[m] + CoA[m] + acetate[m] => AMP[m] + PPi[m] + acetyl-CoA[m]
ENSG00000131389,SLC6A6,NTTA aka SLC6A6,P31641,2 Na+[s] + chloride[s] + taurine[s] => 2 Na+[c] + chloride[c] + taurine[c]
ENSG00000131828,PDHA1,pyruvate dehydrogenase (acetyl-transferring),P08559,lipoamide[m] + pyruvate[m] => CO2[m] + S-acetyldihydrolipoamide[m]
ENSG00000131828,PDHA1,pyruvate dehydrogenase (acetyl-transferring),P08559,2-(alpha-hydroxyethyl)thiamine-diphosphate[c] + CO2[c] <=> pyruvate[c] + thiamin-PP[c]
ENSG00000131828,PDHA1,"6,7-dihydropteridine reductase",P08559,H+[c] + NADPH[c] + dihydrobiopterin[c] <=> NADP+[c] + tetrahydrobiopterin[c]
ENSG00000131828,PDHA1,dihydrolipoyllysine-residue acetyltransferase,P08559,CoA[m] + S-acetyldihydrolipoamide[m] => acetyl-CoA[m] + dihydrolipoamide[m]
ENSG00000131828,PDHA1,pyruvate dehydrogenase (acetyl-transferring),P08559,CoA[m] + NAD+[m] + pyruvate[m] => CO2[m] + H+[m] + NADH[m] + acetyl-CoA[m]
ENSG00000131828,PDHA1,dihydrolipoyllysine-residue acetyltransferase,P08559,CoA[m] + NAD+[m] + pyruvate[m] => CO2[m] + H+[m] + NADH[m] + acetyl-CoA[m]
ENSG00000131828,PDHA1,dihydrolipoyl dehydrogenase,P08559,CoA[m] + NAD+[m] + pyruvate[m] => CO2[m] + H+[m] + NADH[m] + acetyl-CoA[m]
ENSG00000131828,PDHA1,pyruvate dehydrogenase (NADP+),P08559,CoA[m] + NAD+[m] + pyruvate[m] => CO2[m] + H+[m] + NADH[m] + acetyl-CoA[m]
ENSG00000132142,ACACA,biotin carboxylase,Q13085,ATP[c] + HCO3-[c] + apoC-lys_btn[c] => ADP[c] + Pi[c] + carboxybiotin-carboxyl-carrier[c]
ENSG00000132142,ACACA,acetyl-CoA carboxylase,Q13085,H+[c] + acetyl-CoA[c] + carboxybiotin-carboxyl-carrier[c] => apoC-lys_btn[c] + malonyl-CoA[c]
ENSG00000132142,ACACA,acetyl-CoA carboxylase,Q13085,ATP[m] + H+[m] + HCO3-[m] + acetyl-CoA[m] => ADP[m] + Pi[m] + malonyl-CoA[m]
ENSG00000132142,ACACA,acetyl-CoA carboxylase,Q13085,ATP[c] + H+[c] + HCO3-[c] + acetyl-CoA[c] => ADP[c] + Pi[c] + malonyl-CoA[c]
ENSG00000132323,ILKAP,protein-serine/threonine phosphatase,Q9H0C8,H2O[c] + phosphoprotein[c] => Pi[c] + [protein][c]
ENSG00000132356,PRKAA1,non-specific serine/threonine protein kinase,Q13131,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000132356,PRKAA1,Fas-activated serine/threonine kinase,Q13131,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000132356,PRKAA1,Goodpasture-antigen-binding protein kinase,Q13131,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000132356,PRKAA1,IkappaB kinase,Q13131,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000132356,PRKAA1,cAMP-dependent protein kinase,Q13131,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000132356,PRKAA1,cGMP-dependent protein kinase,Q13131,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000132356,PRKAA1,protein kinase C,Q13131,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000132356,PRKAA1,Ca2+/calmodulin-dependent protein kinase,Q13131,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000132356,PRKAA1,polo kinase,Q13131,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000132356,PRKAA1,cyclin-dependent kinase,Q13131,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000132356,PRKAA1,mitogen-activated protein kinase,Q13131,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000132356,PRKAA1,mitogen-activated protein kinase kinase kinase,Q13131,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000132356,PRKAA1,receptor protein serine/threonine kinase,Q13131,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000132356,PRKAA1,dual-specificity kinase,Q13131,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000132356,PRKAA1,mitogen-activated protein kinase kinase,Q13131,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000133083,DCLK1,non-specific serine/threonine protein kinase,O15075,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000133083,DCLK1,Fas-activated serine/threonine kinase,O15075,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000133083,DCLK1,Goodpasture-antigen-binding protein kinase,O15075,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000133083,DCLK1,IkappaB kinase,O15075,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000133083,DCLK1,cAMP-dependent protein kinase,O15075,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000133083,DCLK1,cGMP-dependent protein kinase,O15075,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000133083,DCLK1,protein kinase C,O15075,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000133083,DCLK1,Ca2+/calmodulin-dependent protein kinase,O15075,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000133083,DCLK1,polo kinase,O15075,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000133083,DCLK1,cyclin-dependent kinase,O15075,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000133083,DCLK1,mitogen-activated protein kinase,O15075,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000133083,DCLK1,mitogen-activated protein kinase kinase kinase,O15075,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000133083,DCLK1,receptor protein serine/threonine kinase,O15075,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000133083,DCLK1,dual-specificity kinase,O15075,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000133083,DCLK1,mitogen-activated protein kinase kinase,O15075,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000133083,DCLK1,non-specific serine/threonine protein kinase,O15075,ATP[c] + protamine[c] => ADP[c] + O-phosphoprotamine[c]
ENSG00000133475,GGT2,gamma-glutamyltransferase,P36268,H2O[c] + leukotriene C5[c] <=> glutamate[c] + leukotriene D5[c]
ENSG00000133475,GGT2,fatty-acid synthase system,P36268,3-oxohexadecanoyl-[ACP][c] + H+[c] + NADPH[c] => (R)-3-hydroxypalmitoyl-[ACP][c] + NADP+[c]
ENSG00000133475,GGT2,3-oxoacyl-[acyl-carrier-protein] reductase,P36268,3-oxohexadecanoyl-[ACP][c] + H+[c] + NADPH[c] => (R)-3-hydroxypalmitoyl-[ACP][c] + NADP+[c]
ENSG00000133475,GGT2,gamma-glutamyltransferase,P36268,H2O[s] + gamma-glutamyl-beta-cyanoalanine[s] => L-3-cyanoalanine[s] + glutamate[s]
ENSG00000133475,GGT2,apyrase,P36268,CDP[s] + H2O[s] => CMP[s] + Pi[s]
ENSG00000133475,GGT2,gamma-glutamyltransferase,P36268,GSH[s] + H2O[s] => cys-gly[s] + glutamate[s]
ENSG00000133475,GGT2,tripeptide aminopeptidase,P36268,GSH[s] + H2O[s] => cys-gly[s] + glutamate[s]
ENSG00000133475,GGT2,1-pyrroline-5-carboxylate dehydrogenase,P36268,2 H2O[m] + L-1-pyrroline-3-hydroxy-5-carboxylate[m] + NADP+[m] => H+[m] + L-erythro-4-hydroxyglutamate[m] + NADPH[m]
ENSG00000133475,GGT2,gamma-glutamyltransferase,P36268,L-3-cyanoalanine[s] + glutamate[s] => CO2[s] + H2O[s] + gamma-glutamyl-3-aminopropiononitrile[s]
ENSG00000133475,GGT2,gamma-glutamyltransferase,P36268,GSH[c] + H2O[c] => cys-gly[c] + glutamate[c]
ENSG00000133475,GGT2,tripeptide aminopeptidase,P36268,GSH[c] + H2O[c] => cys-gly[c] + glutamate[c]
ENSG00000133475,GGT2,gamma-glutamyltransferase,P36268,H2O[c] + leukotriene C4[c] => LTD4[c] + glutamate[c]
ENSG00000133475,GGT2,gamma-glutamyltransferase,P36268,GSH[c] + alanine[c] <=> cys-gly[c] + gamma-L-glutamyl-L-alanine[c]
ENSG00000133475,GGT2,fatty-acid synthase system,P36268,(R)-3-hydroxyoctanoyl-[ACP][c] => (2E)-octenoyl-[ACP][c] + H2O[c]
ENSG00000133475,GGT2,3-hydroxyacyl-[acyl-carrier-protein] dehydratase,P36268,(R)-3-hydroxyoctanoyl-[ACP][c] => (2E)-octenoyl-[ACP][c] + H2O[c]
ENSG00000134013,LOXL2,Acyltransferases,Q9Y4K0,eicosanoyl-CoA[c] + malonyl-CoA[c] => 3-oxodocosanoyl-CoA[c] + CO2[c] + CoA[c]
ENSG00000134318,ROCK2,non-specific serine/threonine protein kinase,O75116,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000134318,ROCK2,Fas-activated serine/threonine kinase,O75116,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000134318,ROCK2,Goodpasture-antigen-binding protein kinase,O75116,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000134318,ROCK2,IkappaB kinase,O75116,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000134318,ROCK2,cAMP-dependent protein kinase,O75116,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000134318,ROCK2,cGMP-dependent protein kinase,O75116,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000134318,ROCK2,protein kinase C,O75116,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000134318,ROCK2,Ca2+/calmodulin-dependent protein kinase,O75116,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000134318,ROCK2,polo kinase,O75116,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000134318,ROCK2,cyclin-dependent kinase,O75116,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000134318,ROCK2,mitogen-activated protein kinase,O75116,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000134318,ROCK2,mitogen-activated protein kinase kinase kinase,O75116,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000134318,ROCK2,receptor protein serine/threonine kinase,O75116,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000134318,ROCK2,dual-specificity kinase,O75116,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000134318,ROCK2,mitogen-activated protein kinase kinase,O75116,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000134318,ROCK2,non-specific serine/threonine protein kinase,O75116,ATP[c] + protamine[c] => ADP[c] + O-phosphoprotamine[c]
ENSG00000134824,FADS2,acyl-CoA 6-desaturase,O95864,"(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA[c] + H+[c] + NADH[c] + O2[c] => (6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA[c] + 2 H2O[c] + NAD+[c]"
ENSG00000134824,FADS2,acyl-CoA 6-desaturase,O95864,"H+[c] + NADPH[c] + O2[c] + linolenoyl-CoA[c] => (6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA[c] + 2 H2O[c] + NADP+[c]"
ENSG00000134824,FADS2,acyl-CoA 6-desaturase,O95864,H+[c] + NADPH[c] + O2[c] + linoleoyl-CoA[c] => 2 H2O[c] + NADP+[c] + gamma-linolenoyl-CoA[c]
ENSG00000134852,CLOCK,histone acetyltransferase,O15516,CoA[c] + histone-N6-acetyl-L-lysine[c] <=> acetyl-CoA[c] + histone-L-lysine[c]
ENSG00000134853,PDGFRA,receptor protein-tyrosine kinase,P16234,ATP[c] + [protein]-L-tyrosine[c] => ADP[c] + [protein]-tyrosine-phosphate[c]
ENSG00000134853,PDGFRA,non-specific protein-tyrosine kinase,P16234,ATP[c] + [protein]-L-tyrosine[c] => ADP[c] + [protein]-tyrosine-phosphate[c]
ENSG00000134853,PDGFRA,dual-specificity kinase,P16234,ATP[c] + [protein]-L-tyrosine[c] => ADP[c] + [protein]-tyrosine-phosphate[c]
ENSG00000134853,PDGFRA,mitogen-activated protein kinase kinase,P16234,ATP[c] + [protein]-L-tyrosine[c] => ADP[c] + [protein]-tyrosine-phosphate[c]
ENSG00000135318,NT5E,5'-nucleotidase,P21589,H+[c] + H2O[c] + nicotinamide D-ribonucleotide[c] => Pi[c] + nicotinamide ribonucleoside[c]
ENSG00000135318,NT5E,5'-nucleotidase,P21589,H2O[m] + dTMP[m] => Pi[m] + thymidine[m]
ENSG00000135318,NT5E,thymidylate 5'-phosphatase,P21589,H2O[m] + dTMP[m] => Pi[m] + thymidine[m]
ENSG00000135318,NT5E,5'-nucleotidase,P21589,AMP[m] + H2O[m] => Pi[m] + adenosine[m]
ENSG00000135318,NT5E,5'-nucleotidase,P21589,H2O[c] + xanthosine-5-phosphate[c] => Pi[c] + xanthosine[c]
ENSG00000135318,NT5E,5'-nucleotidase,P21589,H2O[c] + IMP[c] => Pi[c] + inosine[c]
ENSG00000135318,NT5E,5'-nucleotidase,P21589,AMP[s] + H2O[s] => Pi[s] + adenosine[s]
ENSG00000135318,NT5E,5'-nucleotidase,P21589,H2O[c] + nicotinate ribonucleotide[c] => Pi[c] + nicotinate D-ribonucleoside[c]
ENSG00000135318,NT5E,5'-nucleotidase,P21589,H2O[c] + dGMP[c] => Pi[c] + deoxyguanosine[c]
ENSG00000135318,NT5E,adenine phosphoribosyltransferase,P21589,AMP[s] + PPi[s] <=> PRPP[s] + adenine[s]
ENSG00000135318,NT5E,hypoxanthine phosphoribosyltransferase,P21589,AMP[s] + PPi[s] <=> PRPP[s] + adenine[s]
ENSG00000135318,NT5E,5'-nucleotidase,P21589,AMP[c] + H2O[c] => Pi[c] + adenosine[c]
ENSG00000135318,NT5E,5'-nucleotidase,P21589,H2O[c] + dCMP[c] => Pi[c] + deoxycytidine[c]
ENSG00000135318,NT5E,5'-nucleotidase,P21589,CMP[c] + H2O[c] => Pi[c] + cytidine[c]
ENSG00000135318,NT5E,5'-nucleotidase,P21589,CMP[s] + H2O[s] => Pi[s] + cytidine[s]
ENSG00000135318,NT5E,5'-nucleotidase,P21589,H2O[c] + dTMP[c] => Pi[c] + thymidine[c]
ENSG00000135318,NT5E,thymidylate 5'-phosphatase,P21589,H2O[c] + dTMP[c] => Pi[c] + thymidine[c]
ENSG00000135318,NT5E,5'-nucleotidase,P21589,H2O[c] + dAMP[c] => Pi[c] + deoxyadenosine[c]
ENSG00000135318,NT5E,5'-nucleotidase,P21589,GMP[c] + H2O[c] => Pi[c] + guanosine[c]
ENSG00000135318,NT5E,5'-nucleotidase,P21589,GMP[s] + H2O[s] => Pi[s] + guanosine[s]
ENSG00000135341,MAP3K7,non-specific serine/threonine protein kinase,O43318,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000135341,MAP3K7,Fas-activated serine/threonine kinase,O43318,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000135341,MAP3K7,Goodpasture-antigen-binding protein kinase,O43318,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000135341,MAP3K7,IkappaB kinase,O43318,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000135341,MAP3K7,cAMP-dependent protein kinase,O43318,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000135341,MAP3K7,cGMP-dependent protein kinase,O43318,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000135341,MAP3K7,protein kinase C,O43318,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000135341,MAP3K7,Ca2+/calmodulin-dependent protein kinase,O43318,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000135341,MAP3K7,polo kinase,O43318,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000135341,MAP3K7,cyclin-dependent kinase,O43318,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000135341,MAP3K7,mitogen-activated protein kinase,O43318,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000135341,MAP3K7,mitogen-activated protein kinase kinase kinase,O43318,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000135341,MAP3K7,receptor protein serine/threonine kinase,O43318,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000135341,MAP3K7,dual-specificity kinase,O43318,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000135341,MAP3K7,mitogen-activated protein kinase kinase,O43318,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000135446,CDK4,non-specific serine/threonine protein kinase,P11802,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000135446,CDK4,Fas-activated serine/threonine kinase,P11802,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000135446,CDK4,Goodpasture-antigen-binding protein kinase,P11802,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000135446,CDK4,IkappaB kinase,P11802,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000135446,CDK4,cAMP-dependent protein kinase,P11802,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000135446,CDK4,cGMP-dependent protein kinase,P11802,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000135446,CDK4,protein kinase C,P11802,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000135446,CDK4,Ca2+/calmodulin-dependent protein kinase,P11802,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000135446,CDK4,polo kinase,P11802,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000135446,CDK4,cyclin-dependent kinase,P11802,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000135446,CDK4,mitogen-activated protein kinase,P11802,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000135446,CDK4,mitogen-activated protein kinase kinase kinase,P11802,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000135446,CDK4,receptor protein serine/threonine kinase,P11802,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000135446,CDK4,dual-specificity kinase,P11802,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000135446,CDK4,mitogen-activated protein kinase kinase,P11802,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
